precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,station_precip_mm,total_cases,ndvi
61.18,297.951428571,92.4,94.16571428569999,76.8,10,0.23715832499999998
110.42,296.407142857,127.9,98.4571428571,49.0,5,0.2286232
94.01,297.174285714,122.3,97.77571428569999,20.1,11,0.23753429999999998
75.98,296.862857143,187.8,97.2442857143,13.0,8,0.23387857499999998
109.49,297.76428571400004,49.8,92.6157142857,-6.177554614482594,18,0.21634464999999997
45.59,297.58428571400003,96.1,95.2514285714,53.9,13,0.26117144999999997
60.05,297.408571429,52.6,93.8457142857,1.0,9,0.191746425
101.3,297.35571428599997,66.85,95.22,25.4,22,0.19824999999999998
46.79,296.784285714,93.4,97.24285714290001,543.3,10,0.1511869
51.25,297.05,32.3,94.80428571430001,9.1,5,0.20570357499999997
41.54,297.55714285700003,58.02,93.78857142860001,146.7,13,0.194539275
72.76,296.267142857,19.12,94.3457142857,28.0,2,0.29486785000000004
69.62,297.257142857,39.48,94.1442857143,1.0,11,0.341360725
39.16,296.80714285700003,22.95,85.7371428571,31.0,11,0.20799285
3.18,295.80857142900004,14.1,82.1671428571,7.1,3,0.20104285
3.27,294.635714286,6.2,85.5657142857,5.1,7,0.10593571499999999
5.71,295.88285714299997,8.7,85.6728571429,26.3,7,0.20381095
63.0,296.44285714299997,8.3,84.6685714286,0.0,4,0.1025571525
65.55,296.875714286,12.41,83.4971428571,68.1,5,0.270264275
89.93,297.161428571,23.33,87.0342857143,35.6,6,0.31987855
14.34,296.79571428599996,5.44,80.47,0.0,7,0.30706490000000003
9.81,298.304285714,1.7,69.06,7.1,7,0.333075
31.71,296.184285714,5.61,82.1414285714,70.6,4,0.315820425
38.8,298.412857143,10.7,77.7657142857,24.1,9,0.286828575
81.85,299.395714286,13.1,77.0828571429,17.0,17,0.200332125
25.36,299.015714286,3.2,73.1414285714,89.9,8,0.278971425
11.49,300.32,0.8,64.6885714286,0.8,22,0.3493035500000001
38.56,299.238571429,41.1,79.5628571429,86.9,18,0.283642275
70.98,299.654285714,24.1,74.25,74.2,21,0.259973825
70.22,298.717142857,34.4,85.1371428571,79.8,16,0.3103238
21.96,298.297142857,40.7,86.9985714286,4.5,31,0.2110893
48.94,297.331428571,35.4,87.71714285709999,167.8,25,0.2412607
89.77,298.518571429,39.7,91.94428571430001,34.1,28,0.306321425
95.47,297.537142857,124.2,95.2857142857,63.9,26,0.3090768
91.36,297.16571428599997,91.33,96.04714285709998,212.6,18,0.202633325
61.69,297.375714286,85.8,96.84,77.0,27,0.26091190000000003
60.15,298.35,56.92,93.3957142857,17.2,11,0.2858036
49.69,298.32428571400004,49.2,90.66285714290001,46.0,38,0.311721425
35.02,297.88428571400004,30.89,92.61428571430001,57.2,29,0.22105
25.73,297.81857142900003,24.3,93.8457142857,24.0,21,0.22947145
151.73,297.872857143,54.7,93.40857142860001,137.9,11,0.15430357500000003
46.91,299.375714286,28.3,84.06,92.9,10,0.31786072499999996
11.77,297.684285714,33.6,91.56,35.1,5,0.443867875
60.46,296.92,27.9,94.3742857143,164.4,6,0.266323825
84.05,298.125714286,8.8,84.46,67.1,2,0.245414275
35.05,299.487142857,6.26,74.8842857143,7.9,1,0.17037144999999998
56.36,297.218571429,170.6,94.55285714290001,41.9,2,0.14284821749999999
70.63,296.585714286,38.7,94.3542857143,55.9,2,0.27017857500000003
25.03,298.567142857,41.1,89.97428571430001,121.9,3,0.1247857
132.2,299.35,53.6,86.0128571429,0.0,5,0.24266664999999998
63.71,297.508571429,134.46,92.4685714286,5.0,1,0.181921425
47.97,296.68,186.8,96.1714285714,98.4,4,0.17821430000000002
109.04,297.892857143,362.03,93.62857142860001,61.9,2,0.22676069999999998
93.61,298.64428571400003,44.5,91.5942857143,75.9,4,0.187439275
89.38,298.077142857,44.72,93.0142857143,75.0,0,0.251539275
78.59,298.082857143,86.23,96.27,79.0,0,0.1978393
51.14,296.74714285700003,43.85,95.99285714290001,49.0,0,0.23676787500000002
77.34,297.992857143,56.6,92.54714285709998,82.9,0,0.288735725
65.43,296.69142857099996,247.6,97.27714285709999,105.9,1,0.35260715
138.05,296.45428571400004,59.5,96.14,69.0,1,0.170173825
84.16,294.922857143,95.3,98.13285714290001,246.2,1,0.24011785
23.7,295.87857142900003,34.56,95.8542857143,145.8,1,0.17781249999999998
166.52,297.648571429,113.8,92.46142857139999,187.9,1,0.23700715
70.25,296.591428571,40.7,97.61714285709999,72.1,2,0.18949642500000002
98.72,296.837142857,61.8,96.22285714290001,107.0,3,0.30358510000000005
47.15,296.008571429,5.56,90.04857142860001,40.4,4,0.30656785
88.88,295.387142857,38.1,95.5757142857,93.5,6,0.1967738
61.09,295.12857142900003,42.5,94.1271428571,79.3,2,0.250442875
53.58,296.94285714299997,13.55,86.6557142857,1.5,2,0.16461784999999998
65.2,296.79,27.06,85.6114285714,23.8,5,0.188244625
2.64,296.48571428599996,6.39,77.80428571430001,9.9,1,0.25359285
24.64,296.82285714299996,12.0,82.27,69.1,1,0.18928572500000002
89.28,297.658571429,6.5,77.8614285714,117.0,0,0.21718214999999996
52.47,297.338571429,21.0,83.9271428571,79.0,0,0.228942875
45.38,297.36571428599996,35.1,81.9428571429,18.3,0,0.382467275
29.51,297.875714286,18.03,85.7257142857,95.7,0,0.24445357499999998
8.84,297.38142857099996,33.5,70.9285714286,0.8,2,0.276046425
36.42,298.831428571,6.0,76.5328571429,53.1,0,0.2228857
55.73,296.948571429,115.2,85.03,92.3,3,0.3317714
100.55,298.14428571400003,53.36,88.11714285709999,27.2,0,0.368854175
74.6,299.357142857,253.3,83.6828571429,34.5,0,0.237953575
38.3,297.91571428599997,42.5,92.16571428569999,138.2,0,0.2082744
44.16,298.162857143,34.6,90.34285714290002,36.0,2,0.26674644999999997
39.52,298.957142857,41.2,87.37,32.1,2,0.427975025
32.47,300.041428571,6.1,77.7842857143,56.4,3,0.12565355
105.14,298.135714286,85.3,88.48,139.7,3,0.38296785
31.08,298.36714285700003,36.4,86.7557142857,79.0,3,0.304139275
123.63,298.68142857099997,40.8,90.88285714290001,284.4,1,0.27330595
81.27,299.222857143,51.4,86.9957142857,26.2,2,0.28122142499999997
72.23,298.315714286,77.83,89.2071428571,138.0,3,0.354203575
108.62,298.685714286,178.89,93.23142857139999,47.4,6,0.32841964999999995
64.95,298.168571429,65.04,93.91714285709999,66.8,5,0.172373825
49.42,296.297142857,82.68,96.93714285709999,185.7,1,0.26203889999999996
66.91626614962162,298.2132578735617,92.7835112090464,97.46768674817913,201.9030649678581,4,0.208513075
78.53,297.437142857,55.3,95.7942857143,137.2,5,0.256478225
63.47,297.75285714299997,62.5,96.12857142860001,68.1,8,0.318315
29.23,299.62,19.4,82.4671428571,20.1,5,0.31445714999999996
4.65,300.9,1.6,65.2842857143,0.0,2,0.21755715
13.2,299.902857143,9.0,72.9271428571,24.1,3,0.11322499999999999
24.83,298.27,33.46,86.7657142857,13.4,3,0.298760725
39.06,298.081428571,34.5,87.7185714286,8.6,1,0.20580359999999998
125.04,297.88285714299997,83.27,93.0128571429,18.9,6,0.29298690000000005
52.08,297.981428571,49.36,92.5614285714,79.0,4,0.19579997500000001
80.33,296.777142857,76.75,96.28857142860001,24.1,1,0.292848225
137.83,297.887142857,75.16,93.62857142860001,187.2,2,0.37717797499999994
120.1,297.312857143,76.2,96.23857142860001,142.6,3,0.20625832500000002
101.22,297.202857143,88.9,97.9414285714,2.0,1,0.14741665
47.26,297.812857143,135.4,96.4985714286,4.0,8,0.333621425
61.8,298.217142857,54.89,92.32,36.9,4,0.200735725
113.62,297.78,90.3,94.78857142860001,39.6,6,0.298515475
65.82,297.127142857,133.17,97.8085714286,148.5,7,0.24010464999999998
83.93,297.798571429,56.52,95.1157142857,97.0,5,0.1480143
34.81,296.414285714,45.5,93.8971428571,91.8,8,0.165158325
173.45,297.602857143,83.0,91.6271428571,296.9,6,0.21328334999999998
35.43,297.305714286,42.6,93.5757142857,28.2,5,0.14091429
88.62,296.767142857,36.63,94.69285714290001,203.0,6,0.13294167499999998
85.28,295.57428571400004,51.89,96.8757142857,87.9,6,0.212963675
94.52,296.20428571400004,24.5,92.37142857139999,43.2,13,0.270878575
32.95,295.63428571400004,25.9,90.44714285709999,98.5,2,0.180661925
46.39,296.151428571,50.7,94.6685714286,170.1,10,0.244175
83.94,296.61714285700003,18.67,90.9057142857,43.2,3,0.308464275
48.09,297.50142857099996,24.76,85.1585714286,31.0,12,0.22340954999999998
53.78,296.812857143,25.42,90.92857142860001,103.1,7,0.26753214999999997
85.96,296.017142857,27.62,92.52714285709999,6.0,6,0.209739275
29.82,297.517142857,3.9,79.7185714286,55.1,5,0.24273569999999997
18.44,296.53,4.1,79.2357142857,0.5,6,0.22057500000000002
23.78,297.82,7.9,78.4814285714,0.5,6,0.3467643
42.86,298.142857143,23.2,83.1728571429,0.0,6,0.27625715
147.32,297.771428571,41.89,86.54,195.1,8,0.333246425
46.58,298.457142857,35.7,88.74285714290001,23.2,6,0.127461675
36.64,297.721428571,59.5,91.2,87.3,9,0.257698225
48.68,298.62857142900003,6.9,79.5571428571,20.1,12,0.30109405
85.69,299.17,70.02,84.8071428571,40.1,19,0.271099975
52.27,297.56857142900003,39.9,88.8257142857,27.9,8,0.25279645
65.25,298.05714285700003,51.6,94.16,120.6,16,0.3420643
35.61,299.428571429,23.1,85.0657142857,13.0,21,0.2451881
74.01,298.44142857099996,48.5,87.87,89.9,6,0.27668215
91.63,299.504285714,67.0,84.8271428571,101.4,22,0.344464275
74.68,297.168571429,53.9,96.3542857143,184.2,37,0.326789275
74.08,299.418571429,26.8,84.6114285714,107.4,33,0.20571070000000002
71.98,297.958571429,56.8,95.2514285714,77.0,18,0.20108990000000002
53.01,299.17714285700004,36.83,87.13,64.0,83,0.19035955
70.04,297.787142857,91.0,93.9385714286,9.9,116,0.311167875
49.56,298.701428571,38.0,88.78,128.3,32,0.2361393
109.83,298.404285714,29.79,93.25285714290001,100.8,7,0.35269375
108.00520097229787,298.07570117093724,33.21268363240879,92.85607183918665,12.802098898189689,9,0.25505614595566284
70.6,298.162857143,61.61,93.0057142857,74.9,10,0.268792875
93.73,297.662857143,96.21,95.53,232.1,5,0.323475
60.52,300.06857142900003,26.7,83.3,194.0,8,0.321676175
25.67,299.648571429,42.24,87.31285714290001,0.0,7,0.30388095
88.96,299.06142857099996,47.3,89.4271428571,3.8,8,0.150973225
52.61,296.75285714299997,56.8,95.97714285709999,70.4,11,0.219664275
125.35,298.027142857,189.06,95.7485714286,350.9,6,0.20038570000000003
46.98,298.29571428599996,39.6,91.57714285709999,84.1,7,0.2253393
54.22,298.158571429,44.51,94.40142857139999,19.0,7,0.26780835000000003
155.54,297.957142857,201.4,97.68714285709999,8.6,14,0.17030655
162.51,297.314285714,21.7,92.2671428571,146.1,7,0.199442275
99.37,298.37,32.8,89.82,108.8,9,0.19603215000000002
55.12,297.37,67.5,93.8014285714,73.9,13,0.37510712500000004
87.41,297.708571429,68.0,92.41714285709999,71.1,16,0.267807125
40.03,297.701428571,90.2,97.3228571429,3.6,7,0.17746547499999998
37.6,297.437142857,178.2,97.3814285714,105.6,9,0.21178335
78.8,297.92714285700004,54.9,97.16285714290001,14.5,2,0.20227260000000002
33.29,297.33,64.1,95.93714285709999,13.0,13,0.15087199999999998
49.07,298.684285714,54.89,88.2942857143,28.0,8,0.219416675
56.22,297.532857143,49.1,93.9185714286,95.9,3,0.22101069999999998
43.14,299.005714286,21.1,84.6585714286,37.9,5,0.29961784999999996
61.75,298.434285714,34.92,86.70142857139999,78.9,4,0.368021425
40.44,297.304285714,51.0,94.59285714290002,19.5,8,0.1351268
104.83,297.377142857,29.01,89.19428571430001,73.7,2,0.251142875
50.88,297.857142857,11.0,84.4671428571,89.2,3,0.287485675
23.6,296.82,26.6,88.38714285709999,92.0,5,0.24105357500000002
43.24,297.86571428599996,23.91,84.6928571429,40.9,7,0.19638335
109.71,296.988571429,8.7,77.3728571429,167.1,3,0.37329287499999997
27.33,297.794285714,8.9,75.6971428571,0.0,5,0.15904285
42.32,296.898571429,15.3,84.2385714286,71.1,6,0.310864275
0.0,298.221428571,8.64,75.5714285714,0.0,5,0.28554285
38.17,298.92571428599996,1.99,74.8557142857,36.6,5,0.25780715
17.85,299.60571428599997,6.0,64.6585714286,69.6,4,0.29735
69.62,298.428571429,15.82,83.8542857143,127.0,0,0.293289275
12.81,298.184285714,11.0,79.6471428571,37.0,0,0.38899582499999996
36.98,300.05857142900004,4.2,71.9714285714,44.0,0,0.29204287500000004
18.66,298.88,35.3,83.73,1.3,0,0.230235725
2.56,298.49857142900004,13.7,76.5957142857,38.1,0,0.1866732
29.8,301.17571428599996,4.2,67.2128571429,-13.169699859841778,2,0.40646845
54.7,299.11,4.6,74.9528571429,80.8,4,0.31454525
60.0,299.515714286,22.2,75.50857142859999,233.2,4,0.34435297499999995
73.97,299.578571429,35.08,81.69142857140001,64.0,3,0.306814275
100.06,298.065714286,59.7,89.14285714290001,235.2,3,0.31989287499999997
59.15,299.458571429,49.85,87.23142857139999,102.1,5,0.18793925
75.36,298.6,143.8,89.31,8.9,6,0.376196425
49.87,298.31,45.0,93.1771428571,139.5,14,0.401703575
72.34,299.412857143,63.53,90.34857142860001,5.1,3,0.25786785
78.52,299.42,34.95,86.40857142860001,77.9,7,0.34364645
60.5,299.217142857,71.8,87.7214285714,54.1,11,0.283814275
46.91,298.57428571400004,46.9,92.9571428571,6.0,2,0.2081393
151.0,298.021428571,113.36,95.6742857143,81.1,6,0.17889075000000002
114.58,298.18142857099997,210.5,93.82142857139999,273.5,8,0.28835
38.78,298.832857143,15.2,73.16142857140001,70.1,25,0.220503575
138.46,298.728571429,47.6,88.33571428569999,60.1,21,0.21389284999999997
88.85,298.46,52.2,89.9557142857,54.8,10,0.15353215
49.32,297.18857142900004,52.2,93.11428571430001,250.9,28,0.1495125
34.17,297.16571428599997,63.98,97.32,118.9,39,0.350496425
71.87,297.64,67.0,95.82714285709999,101.1,20,0.2122518
44.35,297.064285714,33.0,91.09857142860001,0.0,24,0.290639275
23.44,298.93857142900004,72.2,86.0314285714,0.3,28,0.186764275
79.13,298.25285714299997,50.38,92.6057142857,26.9,26,0.1610375
94.99,297.92571428599996,130.6,96.36,93.0,8,0.38124285
121.69,297.93142857099997,58.83,93.3471428571,16.0,9,0.1684107
120.62,297.494285714,70.0,93.7871428571,97.0,12,0.24725524999999998
121.46,298.04,88.81,95.0242857143,53.9,18,0.209775
41.68,297.77428571400003,87.9,91.8114285714,178.1,9,0.2216
75.33,297.825714286,66.46,95.51,49.0,9,0.271046425
69.6,298.06142857099996,54.86,92.1114285714,11.9,6,0.30021785
74.93,296.85,39.6,90.86428571430001,34.0,6,0.193226775
65.07,297.63,38.84,93.63571428569999,115.0,8,0.131560725
127.24,296.184285714,70.0,96.09857142860001,270.9,5,0.25694639999999996
1.52,296.054285714,0.1,72.0342857143,2.0,7,0.34449284999999996
91.4,297.992857143,12.47,80.38571428569999,83.0,6,0.16574999999999998
79.48,295.987142857,44.65,92.5057142857,150.2,5,0.1208756075
130.66,297.044285714,37.6,93.4757142857,105.2,3,0.2853143
84.99,297.42714285700004,21.5,87.2142857143,79.5,1,0.165810725
71.69,296.724285714,27.29,88.4714285714,74.9,0,0.259404175
17.21,296.851428571,9.16,83.4671428571,21.9,1,0.2891119
20.72,296.448571429,13.62,90.4328571429,110.6,2,0.26326785
1.17,297.62142857099997,1.8,77.27142857140001,0.5,3,0.3063506
54.72,297.397142857,40.0,85.14,47.0,2,0.34634285
28.66,297.504285714,15.4,79.7428571429,11.4,2,0.33339287500000003
44.96,297.51,38.07,88.7071428571,4.0,2,0.19153212500000003
11.79,297.5,12.39,79.2428571429,26.6,2,0.38041785000000006
47.74,298.648571429,22.19,84.62,75.5,2,0.287208025
68.6,298.73571428599996,23.6,83.0471428571,71.1,4,0.24155715
68.0,298.28,22.24,85.3728571429,176.0,0,0.334852975
90.33,299.265714286,9.4,75.53,15.3,6,0.259721425
111.87,297.802857143,16.4,77.2542857143,0.5,3,0.2528725
82.2,299.34,35.7,77.5142857143,93.9,2,0.342241675
134.64,299.38142857099996,44.62,82.8457142857,63.0,6,0.41847145
60.48,299.465714286,24.8,80.49,68.9,2,0.316903575
41.69,299.345714286,29.5,86.8528571429,162.6,7,0.179234175
103.77,299.648571429,55.5,90.37857142860001,8.1,4,0.2855607
55.94,298.794285714,54.8,89.7,143.3,6,0.41823575
67.5,300.467142857,42.73,82.9342857143,14.0,6,0.326710725
80.25,299.432857143,68.0,92.0885714286,108.7,2,0.280146425
86.65,297.29571428599996,87.2,94.44,85.6,13,0.25653929999999997
43.59,298.098571429,61.43,94.30285714290001,205.3,10,0.31948212499999995
75.33,299.197142857,61.28,89.55,115.1,5,0.16259285
99.89,298.202857143,95.02,96.7957142857,10.9,2,0.37919225
157.75,298.158571429,63.0,95.8757142857,93.88005321056042,0,0.3611369
111.48,297.68,80.2,95.0785714286,193.73438400768123,1,0.331039175
79.94,297.288571429,88.9,95.9271428571,133.4,0,0.1755113
37.06,297.104285714,144.59,96.23857142860001,61.5,14,0.18811902500000002
126.89,297.387142857,52.2,94.6471428571,178.0,6,0.256853575
95.47,297.614285714,180.99,96.99714285709999,149.9,10,0.225474975
83.7,298.14428571400003,65.1,93.13571428569999,60.3,5,0.17857499999999998
61.8,298.33,11.7,87.53,9.9,12,0.37261429999999995
14.19,299.171428571,2.1,75.80428571430001,61.3,9,0.28952500000000003
25.7,300.565714286,11.55,72.44571428569999,0.0,5,0.197890475
55.56,299.05857142900004,35.33,78.58571428569999,28.0,11,0.1783875
117.07,297.45,227.25,94.34857142860001,205.3,2,0.21151072499999998
55.47,296.951428571,51.3,96.52285714290001,138.0,6,0.28452679999999997
150.33,297.684285714,59.2,90.8585714286,252.7,7,0.23064215000000002
93.14,297.835714286,58.4,93.58571428569999,66.1,6,0.23970714999999998
97.04,297.717142857,238.2,95.82,94.3,5,0.244514275
98.94,297.555714286,147.57,95.52714285709999,60.4,9,0.17224345000000002
93.62,297.031428571,46.45,94.7214285714,97.1,5,0.19825355
157.86,297.342857143,62.3,95.52571428569999,261.7,8,0.23965712500000003
103.39,297.22571428599997,47.24,93.47,118.2,3,0.20440357499999998
89.15,296.905714286,56.1,95.0371428571,38.1,4,0.1839714
45.23,295.595714286,86.9,91.83285714290001,191.4,11,0.183164275
64.11,297.232857143,65.6,94.8528571429,86.6,5,0.32525715
76.68,296.178571429,29.1,89.28,61.8,8,0.0870214175
39.11,296.861428571,33.48,91.72,0.5,4,0.22854760000000002
54.78,296.65,30.9,91.45857142860001,12.9,3,0.317289275
78.83,296.11857142900004,70.3,94.0657142857,126.0,1,0.15658927499999997
11.41,296.571428571,22.8,92.6714285714,10.2,2,0.1648464
1.59,296.828571429,1.4,78.0742857143,-21.17493547209819,3,0.21351787500000002
18.78,297.385714286,13.04,83.3871428571,54.1,4,0.300241675
26.29,296.05857142900004,39.52,94.24714285709999,22.9,1,0.344085725
27.91,297.64,11.64,84.1557142857,11.9,8,0.36982855000000003
70.88,296.724285714,25.5,82.5714285714,55.9,5,0.411
35.77,297.82,6.08,76.61857142859999,30.3,3,0.26840715
36.78,298.091428571,9.21,80.9357142857,76.5,2,0.2447357
9.06,298.785714286,12.4,79.33428571430001,22.1,7,0.348546425
30.26,300.667142857,12.8,67.7571428571,0.0,1,0.28346784999999997
76.28,297.098571429,56.85,92.65714285709998,37.1,6,0.304501775
49.85,298.56,26.2,84.4128571429,150.9,7,0.29578629999999995
58.22,298.508571429,34.27,86.7071428571,16.3,5,0.355
59.79,299.698571429,10.3,78.5642857143,34.0,2,0.25273215
37.28,298.281428571,73.33,89.8442857143,107.9,6,0.295739875
39.09,299.575714286,38.28,80.45,145.1,11,0.384753575
74.52,299.444285714,86.4,86.7057142857,4.1,6,0.20250357500000002
106.73,296.971428571,67.93,94.7814285714,79.3,3,0.38882500000000003
51.28,297.83,67.47,95.59285714290002,0.0,11,0.272642875
69.88,299.478571429,50.6,84.85,22.1,11,0.3089357
109.5,298.13428571400004,103.3,93.55428571430001,111.3,5,0.17731249999999998
52.27,297.68142857099997,124.2,96.2142857143,80.0,4,0.21283924999999998
129.33,297.88,65.57,96.52285714290001,293.1,9,0.163613575
73.16,298.52,57.8,91.6542857143,142.0,23,0.31187857500000005
83.39,299.048571429,42.68,86.7557142857,23.1,28,0.270922625
146.13,297.141428571,89.72,96.0742857143,261.3,26,0.264428575
53.57,297.64,62.14,93.4685714286,28.1,7,0.198975
19.95,299.277142857,21.4,78.67,-86.64789585067507,29,0.17753572499999998
71.84,296.095714286,62.61,95.28,104.4,58,0.386852975
95.97,298.034285714,63.92,94.9685714286,125.3,26,0.203067875
102.59,297.207142857,93.43,95.1257142857,46.3,38,0.28012142500000003
110.0,298.398571429,66.0,93.0,121.2,35,0.3598232
38.72,299.49,28.0,78.13142857140001,5.1,37,0.19514107500000002
47.23,297.77,103.22,95.7071428571,9.2,20,0.1786792
122.64,297.095714286,33.9,92.37,115.3,29,0.20350895
101.33,296.964285714,70.83,96.9271428571,127.6,25,0.306910725
210.83,297.754285714,39.1,88.97285714290001,119.6,23,0.1698274
96.05,298.017142857,32.17,89.26857142860001,64.4,9,0.14472142500000001
91.87,296.755714286,90.5,93.45142857139999,100.9,3,0.19876905
62.13,297.094285714,53.36,94.0742857143,282.7,6,0.33525715
107.0,297.694285714,24.9,90.9571428571,21.1,6,0.216542225
71.45,297.537142857,99.96,95.15714285709998,53.1,3,0.3156607
